request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01kvqd5yerf4g82m8z6skzk0b2,1782123264472,200,0.378674,0.76419,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,3878,3878,0,0,186
req_01kvqd4z13f1q84sv7ajfvzxz6,1782123232291,429,0,0.013185,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 7729, Requested 4448. Please try again in 31.327499999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd4x0rez98r61c250rqcgc,1782123230232,200,0.553161,1.95121,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,3232,3232,0,0,601
req_01kvqd4s09f0mvj7qstz1w5cnr,1782123226121,429,0,0.010579,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 4718, Requested 3802. Please try again in 3.9s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd4g2gf8089vbb0he9nzpm,1782123216976,429,0,0.010863,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5937, Requested 3233. Please try again in 8.774999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd4ffvf7xbd0hc6dzqmxxg,1782123216379,200,0.347874,0.493763,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,3122,3122,0,0,67
req_01kvqd4dvkeyyaptgw7e7dc2zy,1782123214707,200,0.366703,1.5511810000000001,qwen/qwen3.6-27b,key_01kvn4r2mqfjj8ba4fzbg8mvxe,project_01kvn4qkwtfbm83tr5c0bssryc,2479,2479,0,0,570
req_01kvqd1qqteek97rt3a23y4d2d,1782123126522,200,0.67016,1.171738,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,3491,3491,0,0,206
req_01kvqd1mq0ee6sagwv23v4w66t,1782123123424,429,0,0.014035,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 4364, Requested 4018. Please try again in 2.865s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd0t67ebjay9dja54zbc2a,1782123096263,429,0,0.012491,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 7986, Requested 3530. Please try again in 26.37s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd0rjge9eb0me883cynd0w,1782123094608,200,0.360761,1.5596079999999999,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,2919,2919,0,0,527
req_01kvqd0nhceag8rpzhqz6f0a6d,1782123091500,429,0,0.008181,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `qwen/qwen3.6-27b` in organization `org_01kvn4qjzzfb7vrjf3jj23wf7y` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5347, Requested 2920. Please try again in 2.0025s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kvqd0n19eacthjpnf6fmq763,1782123090985,200,0.339423,0.424182,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,2837,2837,0,0,39
req_01kvqd0kc0e87a76ccwacaa0f2,1782123089280,200,0.473024,1.581197,qwen/qwen3.6-27b,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,2248,2248,0,0,516
req_01kvqczfh2e1zvs68vaed80xda,1782123052578,404,0,0.000342,,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"model_not_found\",\"message\":\"The model `qwen3.6-27` does not exist or you do not have access to it.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01kvqcysqxfx3s4w5jxe43mkmr,1782123030269,404,0,0.0029,,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"model_not_found\",\"message\":\"The model `qwen/qwen3.6-27` does not exist or you do not have access to it.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01kvqcsmx0es3b8w7q9kxtcryc,1782122861472,404,0,0.000456,,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"model_not_found\",\"message\":\"The model ` llama-3.3-70b-versatile` does not exist or you do not have access to it.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01kvqcrsk5etda1xr9dw83vx2v,1782122833509,404,0,0.001016,,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"model_not_found\",\"message\":\"The model ` llama-3.3-70b-versati` does not exist or you do not have access to it.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01kvqcqb1re8490wyphw1fg83p,1782122785848,400,0,0.003418,llama3-groq-70b-8192-tool-use-preview,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,0,0,0,0,0,"{\"code\":\"model_decommissioned\",\"message\":\"The model `llama3-groq-70b-8192-tool-use-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01kvqchp9pf9aaw2e1vna41mww,1782122600758,400,0.317456,0.917337,meta-llama/llama-4-scout-17b-16e-instruct,key_01kvqbx8y6fs2tx19jf3bmcsqd,project_01kvn4qkwtfbm83tr5c0bssryc,2283,2283,0,0,200,"{\"code\":\"tool_use_failed\",\"message\":\"Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
